order,re_z,im_z,abs_z
4,-0.5945746544289618,-1.6863067625436519,1.7880574702983603
8,-0.5945746544289943,-1.686306762543217,1.788057470297961
16,-0.594574654428994,-1.686306762543217,1.788057470297961
32,-0.5945746544289942,-1.6863067625432167,1.7880574702979606
64,-0.5945746544289942,-1.686306762543217,1.788057470297961
