a_over_delta,re_z,im_z,abs_z
0.1,3.9370029554643673,1765.1831097017016,1765.1875001734068
0.01,3.937581605217916,18971.772973219475,18971.773381840976
0.001,3.937587391987945,190664.67691041649,190664.67695107582
0.0001,3.937587449855676,1907204.0229624019,1907204.0229664666
