order,re_z,im_z,abs_z
4,3.937002955464328,1765.1842240433316,1765.188614512265
8,3.937002955464364,1765.1831780163368,1765.187568487872
16,3.937002955464364,1765.183110503245,1765.187500974948
32,3.9370029554643673,1765.1831097017016,1765.1875001734068
64,3.9370029554643726,1765.1831097013317,1765.1875001730368
