order,re_z,im_z,abs_z
4,3.859742944623683,-756.0675039561448,756.0773559326278
8,3.8597429446237177,-756.0675161487823,756.0773681251064
16,3.85974294462372,-756.0675161026002,756.0773680789249
32,3.859742944623719,-756.0675161025966,756.0773680789214
64,3.859742944623713,-756.0675161025966,756.0773680789214
